announcement_date, event_id
2024-02-05 09:00:01,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-Monday_ February 12_ 2024-12:00 PM
2024-02-06 09:00:01,Valentine's Bake Sale!-Tuesday_ February 13_ 2024-11:00 AM
2024-02-12 09:00:01,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-Monday_ February 12_ 2024-12:00 PM
2024-02-13 09:00:01,Valentine's Bake Sale!-Tuesday_ February 13_ 2024-11:00 AM
2024-02-15 09:00:01,Raza Schools: Book Talk and Book Club Wrap Up-Thursday_ February 22_ 2024-4:30 PM
2024-03-06 18:47:45,FIS and SACNAS UH ERAS Undergraduate Research Information Session-Thursday_ March 7_ 2024-11:00 AM
2024-03-10 10:00:01,SACNAS UH at the Oddities and Curiosities Expo Houston -Sunday_ March 17_ 2024-10:00 AM
2024-03-10 10:00:01,Xipe Totec Spring Equinox Celebration-Sunday_ March 17_ 2024-1:30 PM
2024-03-17 09:00:01,SACNAS UH at the Oddities and Curiosities Expo Houston -Sunday_ March 17_ 2024-10:00 AM
2024-03-17 09:00:01,Xipe Totec Spring Equinox Celebration-Sunday_ March 17_ 2024-1:30 PM
2024-03-20 10:05:20,STEM Education and Social Justice-Tuesday_ March 26_ 2024-4:00 PM
2024-03-26 09:00:01,STEM Education and Social Justice-Tuesday_ March 26_ 2024-4:00 PM
2024-04-02 10:29:08,UH SACNAS x ASUH Total Eclipse Appreciation -Monday_ April 8_ 2024-12:00 PM
2024-04-11 08:14:51,Undergraduate Research Day-Thursday_ April 11_ 2024-4:00 PM
2024-04-12 09:00:01,UH SACNAS x ASME x SWE Volunteering at the Houston Furniture Bank-Friday_ April 12_ 2024-9:00 AM
2024-04-13 09:00:00,UH NSMeet-Saturday_ April 20_ 2024-11:00 AM
2024-04-14 11:19:53,SACNAS x ASUH Beach Stargazing Trip-Friday_ April 26_ 2024-7:30 PM
2024-04-15 09:00:01,SACNAS Book Club: Braiding Sweetgrass-Monday_ April 22_ 2024-3:00 PM
2024-04-20 09:00:02,UH NSMeet-Saturday_ April 20_ 2024-11:00 AM
2024-04-22 09:00:01,SACNAS Book Club: Braiding Sweetgrass-Monday_ April 22_ 2024-3:00 PM
2024-04-26 00:03:12,SACNAS x ASUH Beach Stargazing Trip-Friday_ April 26_ 2024-7:30 PM
2024-06-04 12:40:49,Painting in the Park-Saturday_ June 8_ 2024-10:00 AM
2025-01-21 13:31:06,Test Title-Tuesday_ January 21_ 2025-6:00 PM
