announcement_date, event_id
2024-02-03 09:00:00,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-Monday_ February 12_ 2024-12:00 PM
2024-02-05 09:00:01,Valentine's Bake Sale!-Wednesday_ February 14_ 2024-11:00 AM
2024-02-10 09:00:01,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-Monday_ February 12_ 2024-12:00 PM
2024-02-11 09:00:01,Valentine's Bake Sale!-Tuesday_ February 13_ 2024-11:00 AM
2024-02-13 09:00:01,Raza Schools: Book Talk and Book Club Wrap Up-Thursday_ February 22_ 2024-
2024-02-13 20:54:56,Raza Schools: Book Talk and Book Club Wrap Up-Thursday_ February 22_ 2024-4:30 PM
2024-03-08 09:00:01,SACNAS UH at the Oddities and Curiosities Expo Houston -Sunday_ March 17_ 2024-10:00 AM
2024-03-08 09:00:01,Xipe Totec Spring Equinox Celebration-Sunday_ March 17_ 2024-1:30 PM
2024-03-15 09:00:01,SACNAS UH at the Oddities and Curiosities Expo Houston -Sunday_ March 17_ 2024-10:00 AM
2024-03-15 09:00:01,Xipe Totec Spring Equinox Celebration-Sunday_ March 17_ 2024-1:30 PM
2024-03-24 09:00:01,STEM Education and Social Justice-Tuesday_ March 26_ 2024-4:00 PM
2024-04-11 09:00:01,UH NSMeet-Saturday_ April 20_ 2024-11:00 AM
2024-04-17 09:00:01,SACNAS x ASUH Beach Stargazing Trip-Friday_ April 26_ 2024-7:30 PM
2024-04-18 09:00:00,UH NSMeet-Saturday_ April 20_ 2024-11:00 AM
2024-04-20 09:00:02,SACNAS Book Club: Braiding Sweetgrass-Monday_ April 22_ 2024-3:00 PM
2024-04-24 09:00:01,SACNAS x ASUH Beach Stargazing Trip-Friday_ April 26_ 2024-7:30 PM
2025-01-22 09:00:01,Board Game Night-Friday_ January 31_ 2025-5:30 PM
