date_scheduled, event_id
2024-01-28 22:05:25,Science Communication for Beginners-2024-02-01T18:00:00.000Z-1201377535284482111
2024-01-28 22:05:25,Freshman/Transfer Mentorship Program Resume Workshop with CRAM CREW-2024-02-08T17:00:00.000Z-1201377537813647490
2024-01-28 22:05:26,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-2024-02-12T18:00:00.000Z-1201377539793371338
2024-01-30 09:00:02,Science Communication for Beginners-2024-02-01T17:00:00.000Z-1201904663805558784
2024-01-30 21:53:13,Science Communication for Beginners-2024-02-1202099243175645184
2024-01-30 22:05:11,Science Communication for Beginners-2024-02-1202102254967205908
2024-01-30 22:05:12,Freshman/Transfer Mentorship Program Resume Workshop with CRAM CREW-2024-02-1202102257663868980
2024-01-30 22:05:13,UH SACNAS + Altair Lunch n Learn: Data Science and Machine Learning-2024-02-1202102261229301831
2024-02-01 09:00:01,Science and Engineering Fair of Houston-2024-1202629435053051934
2024-02-01 09:00:02,UH STEM Center Day of Discovery-2024-1202629437963636768
2024-02-01 09:00:02,Valentine's Bake Sale!-2024-1202629440807506000
2024-02-05 09:00:01,Raza Schools: Book Talk and Book Club Wrap Up-2024-1204078987761164359
